"|","|__1990","|__1991","|__1992","|__1993","|__1994","|__1995","|__1996","|__1997","|__1998","|__1999","|__2000","|__2001","|__2002","|__2003","|__2004","|__2005","|__2006","|__2007","|__2008","|__2009","|__2010","|__2011"
"PER","0","0","0","0","0.00850457833343858","0.0334123047076893","0.246232579968339","0.403429701123947","1.19038044043045","1.95249760760468","3.07643061137675","7.57876295717419","8.96694917040028","11.6","14.1","17.1","20.7","25.2","30.57","31.4","34.77","36.5"
"VUT","0","0","0","0","0","0","0.056845635676321","0.139505814602353","0.274185941938385","0.538300048447004","2.10833689115184","2.83057223877678","3.51003871071264","3.90329584542948","4.74660261917533","5.08233380768449","5.85058505850585","6.8","7.26911992337492","7.5","8","0"
"COG","0","0","0","0","0","0","0.000108206731817796","0.000211213230126382","0.000413065168672064","0.00100907613529895","0.0059021136806903","0.0114757819210493","0.0927907024606925","0.134914837437335","0.196208375178039","0.238037798692792","0.29605361030881","0.37","0.44","0.56","0.72","1.2"
"ETH","0","0","0","0","0","0.0000175491225386083","0.0017034482886673","0.00496672048936104","0.00966351744980805","0.0125415989159042","0.0152637672082567","0.0371623810686744","0.0724022618698295","0.105811658802603","0.155334520794722","0.219659818999505","0.310592656856176","0.37","0.45","0.54","0.75","1.1"
"COM","0","0","0","0","0","0","0","0","0.0378709698187306","0.148162964444593","0.271740607285909","0.443068372538977","0.554869674985088","0.848189370151537","1.32732717785355","2","2.2","2.5","3","3.5","5.1","5.5"
"COL","0","0","0","0","0.107173945315899","0.188046790408001","0.330017772736723","0.550521023153909","1.12622524463277","1.69773079358943","2.207532992624","2.85419997133433","4.6","7.38892371052557","9.1186903029666","11.0072638904585","15.3416745365682","21.8","25.6","30","36.5","40.4"
"GGY","0","0","0","0","0","0","1.6260162601626","3.38709677419355","7.25806451612903","15.2","31.8979266347687","44.4657880226953","53.5714285714286","59.1397849462366","64.5161290322581","73.5710243350311","83.6320191158901","0","0","0","0","83.632"
"MDG","0","0","0","0","0","0","0.00369519572084511","0.0143336470251985","0.0625610230645809","0.168608781293706","0.196394691006341","0.222511586178292","0.339720154596142","0.423252419277809","0.525353654946669","0.567721802237403","0.607552238860378","0.65","1.65","1.63","1.7","1.9"
"ANT","0","0","0","0","0","0","0.264737962364851","0","0","1.09942664900255","0","0","0","0","0","0","0","0","0","0","0","0"
"MDV","0","0","0","0","0","0","0.226930089745917","0.309444238148286","0.56962746363878","1.11990861545698","2.2038729393788","3.61729064930367","5.3477651689359","5.97659284988557","6.58825487530861","6.86960506696215","11.0363527828647","16.3","23.2","24.8","28.3","34"
"SRB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.5","26.3","27.2","33.15","35.6","38.1","40.9","42.2"
"LTU","0","0","0","0","0","0","0.277421291418305","0.978422157292264","1.97206374498849","2.92305470000236","6.42706749477765","7.17935699381369","17.69","25.91","31.23","36.22","43.9","49.9","55.22","59.76","62.12","65.05"
"RWA","0","0","0","0","0","0","0.000883371624548685","0.00162579102862498","0.0117635727735049","0.0671764824271024","0.0628314595107164","0.240672409832383","0.292784718792575","0.356918467272361","0.43085424337006","0.556041164839515","0","2.11538717825754","4.5","7.7","8","7"
"ZMB","0","0","0","0","0.00677610528441347","0.00878362302271039","0.00906917604721776","0.00932965786278686","0.0302261825238258","0.147053172074171","0.191071642503428","0.233129556342332","0.477750906947484","0.980483039426114","2.01354953218533","2.85175226129009","4.15991339393107","4.87","5.55","6.31","10","11.5"
"POL","0","0.00522946814713956","0.0521271812521256","0.129961703924781","0.389098144429859","0.647752333087308","1.29520025466745","2.07346547356008","4.10227200222192","5.45644373006027","7.2854287080601","9.9006697073534","21.15","24.87","32.53","38.81","44.58","48.6","53.13","58.97","62.32","64.88"
"JEY","0","0","0","0","0","0","1.13832984245515","3.34709360705121","4.65327299589349","6.9468565474123","9.21871398939848","16.0576239304475","19.4063926940639","22.7272727272727","30.6818181818182","31.25","31.8181818181818","32.3863636363636","0","0","0","36"
"MDA","0","0","0","0","0.000825390856962057","0.00345721694036301","0.00464390102546622","0.0281288083769467","0.260818205679814","0.600695268731841","1.28284641670022","1.48781295215565","3.78724279887342","7.40754458415897","10.629390841654","14.6302704551796","19.6206477051634","20.45","23.39","27.5","32.3","38"
"AUS","0.585094712206538","1.09720389137797","1.76876491254256","1.97461101573426","2.23210125436278","2.75965451333217","3.27524987017728","16.3693583751403","30.8132394396276","40.7837839021856","46.7561156116738","52.6892664310395","0","0","0","63","66","69.45","71.67","74.25","76","79"
"AUT","0.130369376859149","0.259081553302726","0.642817618756698","0.765342730041297","1.3934229675881","1.89021052408733","6.90916235325567","9.53397431748034","15.4212193219603","23.0443171023274","33.7301329516915","39.1854501811114","36.56","42.7","54.28","58","63.6","69.37","72.87","73.45","75.17","79.8"
"PLW","0","0","0","0","0","0","0","0","0","0","0","0","20.243939470621","21.6015271777354","26.9703326341025","0","0","0","0","0","0","0"
"ALB","0","0","0","0","0","0.011168695486794","0.0321968282260578","0.0485939187626304","0.0650273700200414","0.0814370446040466","0.114097346552109","0.325798377067964","0.39008127343332","0.971900415195857","2.42038779776014","6.04389086404814","9.60999131577118","15.0361154084109","23.86","41.2","45","49"
"MMR","0","0","0","0","0","0","0","0","0","0.000151709352621516","0","0.000289277380848561","0.00042649350636189","0.0240641491408465","0.024337392002823","0.0652388555011476","0.18204833106115","0.217128445069958","0.22","0.22","0.25","0.98"
"GNQ","0","0","0","0","0","0","0","0.0414622921184329","0.0944237738972509","0.0974159446521569","0.132354665123789","0.16526042288306","0.321197997152044","0.520524272046806","0.843930284607049","1.14978967061811","1.27919359635686","1.55712305943539","1.82","2.13","6","0"
"WSM","0","0","0","0","0","0","0","0.174571862507201","0.230359014524136","0.285308332715165","0.566392532680849","1.68990283058724","2.24483267578443","2.79963044878076","3.07552941044897","3.35259211246829","4.46917387320954","4.74998323535329","5.03161531623702","6","7","0"
"UKR","0","0","0","0.000776970320005715","0.0136412456078599","0.0430839845118559","0.0985803813881738","0.198821884897478","0.30107579197686","0.405385448389345","0.716183762031043","1.23875954748114","1.87388511643427","3.14812758815439","3.4894778812677","3.749764414659","4.50612456357379","6.55","11","17.9","23.3","30.6"
"GNB","0","0","0","0","0","0","0","0.0163890632503118","0.02406042052803","0.117702448210923","0.230103170591588","0.299569144677667","1.02299323436117","1.35419747762901","1.80814220342991","1.90136531610877","2.0571967045036","2.20630223745003","2.35488871087933","2.30328059172582","2.45","2.672"
"TON","0","0","0","0","0","0.123231119965495","0.163793456451415","0.510866122423958","0.765134357593193","1.01796711966204","2.4343980443669","2.82537183911525","2.90729731626382","2.98581736750435","3.95237389457043","4.90778276190383","5.85394409483389","7.17986532901248","8.11076994380395","10","16","25"
"CAN","0.360999700586848","0.570385926326173","0.915981040178909","1.18455750906509","2.37869385300003","4.16352525273622","6.76023965049561","15.0723573635834","24.897400303091","36.1864400395459","51.3","60.2","61.5932992681952","64.2","65.9559634648989","71.66","72.4","73.2","76.7","80.3","80.3","83"
"ERI","0","0","0","0","0","0","0","0.00901771801235067","0.0087742362685396","0.0254950284694485","0.136711941104496","0.157815289303043","0.227090137626716","0.725623231746887","1.1610256686521","1.78846005094428","2.15938321105466","2.5098464413201","4.06","4.93","5.4","6.2"
"GRC","0","0.0487888033209172","0.0482916024670055","0.191062242060003","0.3781743124531","0.749616477469714","1.39536077890155","1.84963468790097","3.2218217855723","6.87729214416088","9.13883730776798","10.9350258080278","14.67","17.8","21.42","24","32.25","35.88","38.2","42.4","44.4","53"
"SOM","0","0","0","0","0","0","0.0015095503970193","0.00294871303419623","0.00716442000008024","0.0139103939715691","0.02","0.0790391786670095","0.115614213354469","0.376198002539086","1.05345474358422","1.07732783912096","1.10021636808277","1.12223562161375","1.14268737216185","1.16061054246061","0","1.25"
"GAB","0","0","0","0","0","0","0","0.0479990086022951","0.170124880168288","0.249009564457371","1.21614061828589","1.34762022159633","1.93953010616212","2.65958659385985","2.97906980035019","4.89326474972412","5.48920080280135","5.76700457562583","6.21","6.7","7.23","8"
"IRQ","0","0","0","0","0","0","0","0","0","0","0","0.1","0.5","0.6","0.9","0.9","0.95234424383919","0.93","1","1.06","2.5","5"
"IRL","0","0.0567960442691087","0.169686377153426","0.281141005146567","0.558377221782965","1.10838632805464","2.19930183163355","4.08825507004952","8.09601004337033","10.9338085895467","17.8504672405807","23.1388121904053","25.85","34.31","36.99","41.61","54.82","60.55","65.34","67.38","69.85","76.82"
"ABW","0","0","0","0","0","0","2.76838266270266","0","0","4.50617909808825","15.4428229480349","17.1","18.8","20.8","23","25.4","28","30.9","34.2","37.7","42","57.06835805"
"SYR","0","0","0","0","0","0","0","0.0326078138234696","0.063687286253526","0.124295462246123","0.181698580104333","0.353759130007247","2.09310101861765","3.39797261356623","4.32159377785571","5.64810604883917","7.83255156888787","0","14","17.3","20.7","22.5"
"NZL","0","0","0.28594124136243","0.631215367316847","3.16871884839389","4.88424078004581","8.04189936796032","14.6015243991473","31.636260808802","41.4944826585159","47.3795565432096","53.2410152941279","59.0807532812931","60.9625398663824","61.8476278106481","62.7202123689541","69","69.76","72.03","79.7","83","86"
